fixed metal distribution -- based on Grevesse & Sauval (1998) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          36    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   4.100  -0.481  -0.478  -0.474  -0.472  -0.469  -0.463  -0.452  -0.434  -0.404  -0.359  -0.295  -0.207  -0.094   0.047   0.212   0.402   0.610   0.831   1.060   1.288   1.511   1.722   1.917   2.091   2.243   2.373   2.483   2.574   2.652   2.719   2.779   2.835   2.889   2.942   2.996   3.055   3.116
   4.125  -0.477  -0.472  -0.467  -0.463  -0.458  -0.451  -0.439  -0.421  -0.393  -0.351  -0.291  -0.208  -0.101   0.033   0.192   0.374   0.576   0.794   1.022   1.255   1.487   1.713   1.928   2.126   2.304   2.459   2.593   2.705   2.800   2.880   2.948   3.010   3.066   3.120   3.173   3.230   3.287
   4.150  -0.474  -0.468  -0.462  -0.456  -0.449  -0.440  -0.427  -0.409  -0.381  -0.340  -0.283  -0.204  -0.103   0.025   0.176   0.351   0.546   0.757   0.981   1.214   1.450   1.686   1.915   2.133   2.335   2.515   2.673   2.808   2.922   3.017   3.098   3.168   3.230   3.287   3.341   3.396   3.451
   4.175  -0.474  -0.467  -0.459  -0.452  -0.443  -0.433  -0.419  -0.400  -0.371  -0.331  -0.275  -0.199  -0.101   0.021   0.166   0.335   0.524   0.729   0.948   1.178   1.414   1.653   1.891   2.122   2.342   2.543   2.725   2.883   3.019   3.132   3.228   3.310   3.380   3.442   3.499   3.556   3.610
   4.200  -0.474  -0.466  -0.458  -0.450  -0.440  -0.428  -0.413  -0.392  -0.363  -0.323  -0.267  -0.193  -0.098   0.020   0.161   0.324   0.507   0.707   0.921   1.147   1.381   1.621   1.862   2.102   2.334   2.554   2.757   2.937   3.095   3.228   3.341   3.436   3.516   3.587   3.650   3.710   3.765
   4.225  -0.474  -0.467  -0.458  -0.449  -0.438  -0.426  -0.409  -0.388  -0.358  -0.317  -0.262  -0.189  -0.096   0.020   0.157   0.317   0.496   0.692   0.903   1.126   1.358   1.596   1.838   2.082   2.322   2.554   2.773   2.973   3.151   3.305   3.437   3.547   3.641   3.722   3.792   3.857   3.916
   4.250  -0.473  -0.467  -0.459  -0.449  -0.438  -0.424  -0.407  -0.385  -0.355  -0.314  -0.259  -0.187  -0.095   0.019   0.154   0.311   0.488   0.683   0.892   1.113   1.343   1.579   1.820   2.065   2.309   2.549   2.780   2.996   3.194   3.367   3.518   3.645   3.754   3.846   3.927   3.999   4.063
   4.275  -0.471  -0.465  -0.458  -0.448  -0.437  -0.423  -0.405  -0.383  -0.353  -0.312  -0.258  -0.187  -0.096   0.016   0.149   0.306   0.481   0.676   0.884   1.105   1.335   1.571   1.812   2.056   2.302   2.547   2.786   3.014   3.227   3.417   3.586   3.731   3.855   3.961   4.052   4.134   4.204
   4.300  -0.467  -0.462  -0.455  -0.446  -0.435  -0.421  -0.404  -0.381  -0.351  -0.311  -0.258  -0.187  -0.098   0.013   0.145   0.300   0.476   0.671   0.881   1.102   1.333   1.569   1.810   2.055   2.302   2.549   2.793   3.030   3.254   3.460   3.645   3.807   3.947   4.067   4.170   4.262   4.340
   4.325  -0.461  -0.457  -0.450  -0.442  -0.430  -0.417  -0.399  -0.377  -0.347  -0.308  -0.256  -0.188  -0.101   0.009   0.140   0.295   0.471   0.667   0.879   1.102   1.335   1.573   1.816   2.061   2.309   2.559   2.805   3.048   3.281   3.498   3.698   3.875   4.030   4.164   4.280   4.382   4.468
   4.350  -0.454  -0.450  -0.444  -0.436  -0.424  -0.410  -0.392  -0.370  -0.341  -0.303  -0.253  -0.186  -0.101   0.006   0.136   0.291   0.468   0.665   0.879   1.105   1.341   1.581   1.826   2.074   2.323   2.574   2.823   3.070   3.309   3.536   3.747   3.937   4.107   4.254   4.383   4.494   4.588
   4.375  -0.447  -0.444  -0.437  -0.429  -0.417  -0.403  -0.384  -0.361  -0.331  -0.293  -0.244  -0.180  -0.098   0.007   0.135   0.289   0.466   0.664   0.880   1.109   1.348   1.592   1.840   2.091   2.343   2.596   2.847   3.097   3.341   3.575   3.796   3.997   4.179   4.339   4.479   4.600   4.702
   4.400  -0.441  -0.437  -0.430  -0.421  -0.410  -0.394  -0.374  -0.349  -0.318  -0.280  -0.231  -0.169  -0.089   0.014   0.139   0.292   0.468   0.667   0.885   1.116   1.359   1.606   1.858   2.112   2.367   2.622   2.876   3.129   3.377   3.616   3.844   4.055   4.247   4.418   4.569   4.699   4.808
   4.425  -0.434  -0.429  -0.423  -0.414  -0.401  -0.385  -0.363  -0.336  -0.302  -0.262  -0.211  -0.149  -0.070   0.030   0.153   0.303   0.477   0.676   0.894   1.128   1.373   1.623   1.879   2.136   2.394   2.652   2.910   3.166   3.417   3.661   3.895   4.113   4.314   4.494   4.655   4.792   4.908
   4.450  -0.427  -0.423  -0.416  -0.407  -0.394  -0.376  -0.352  -0.322  -0.285  -0.242  -0.188  -0.124  -0.044   0.055   0.176   0.323   0.495   0.692   0.910   1.144   1.391   1.644   1.902   2.162   2.424   2.685   2.946   3.205   3.459   3.708   3.946   4.170   4.378   4.566   4.734   4.879   5.002
   4.475  -0.423  -0.418  -0.411  -0.401  -0.388  -0.369  -0.344  -0.311  -0.271  -0.222  -0.164  -0.095  -0.012   0.089   0.210   0.355   0.525   0.719   0.934   1.167   1.414   1.668   1.928   2.191   2.456   2.720   2.984   3.246   3.504   3.755   3.998   4.227   4.441   4.635   4.809   4.959   5.087
   4.500  -0.421  -0.415  -0.407  -0.397  -0.384  -0.364  -0.338  -0.303  -0.259  -0.206  -0.142  -0.067   0.022   0.126   0.249   0.395   0.563   0.755   0.968   1.198   1.442   1.696   1.957   2.222   2.489   2.756   3.022   3.287   3.548   3.803   4.048   4.282   4.500   4.699   4.878   5.033   5.165
   4.525  -0.419  -0.413  -0.405  -0.395  -0.381  -0.362  -0.335  -0.299  -0.253  -0.195  -0.125  -0.043   0.053   0.164   0.293   0.442   0.610   0.801   1.011   1.238   1.479   1.730   1.990   2.254   2.523   2.791   3.060   3.327   3.590   3.848   4.097   4.334   4.556   4.758   4.940   5.096   5.230
   4.550  -0.418  -0.412  -0.404  -0.394  -0.380  -0.361  -0.334  -0.297  -0.250  -0.189  -0.115  -0.025   0.079   0.199   0.335   0.489   0.661   0.852   1.060   1.284   1.521   1.769   2.026   2.289   2.557   2.826   3.096   3.364   3.629   3.889   4.140   4.380   4.604   4.809   4.992   5.150   5.283
